Date,Volume,Open,Close,High,Low
6/1/2023,7693960,800.62,789.95,805.79,785.16
5/31/2023,8988338,794.9,807.96,821.67,790.13
5/30/2023,8264997,831.12,803.34,920.7597,798.81
5/26/2023,8250038,747.425,812.73,814.98,747.02
5/25/2023,4920867,699.41,728.8,732.39,690.77
5/24/2023,2264225,681.44,679.53,684.31,676.06
5/23/2023,3606465,690.64,686.5,698.99,682.02
5/22/2023,1752783,681.4,678.37,684.68,674.12
5/19/2023,2147654,680,682.25,684.95,678.41
5/18/2023,2601143,656,677.9,679.36,656
5/17/2023,2413298,647.35,657.47,660.9,644.58
5/16/2023,1496930,640.46,641.44,646.91,638.73
5/15/2023,1461003,631.87,639.8,640.02,628.47
5/12/2023,1194246,628.38,631.15,632.7,624.21
5/11/2023,1442994,626.58,627.67,628.48,617.99
5/10/2023,1886965,622.06,626.27,628,618.27
5/9/2023,1697690,622.73,618.51,624.07,615.86
5/8/2023,1393505,629.78,629.06,630.73,620.58
5/5/2023,2485384,615.95,630.12,631.47,613.37
5/4/2023,1768438,610,610.16,613.96,601.29
5/3/2023,1981558,616.9,613.2,621.95,612.4
5/2/2023,2835748,625.76,612.34,626.5,605.02
5/1/2023,1702989,626.5,637.95,638.99,626.2
4/28/2023,1618306,619.07,626.5,626.78,614.56
4/27/2023,1824988,616.19,618.41,620.09,603.23
4/26/2023,1717891,619.97,616.19,623.1256,613.51
4/25/2023,2366980,633.99,622.02,635.99,621.74
4/24/2023,1233771,633.64,634.54,638.85,631.785
4/21/2023,1480717,630.6,632.9,633.8,621.99
4/20/2023,2009527,627.86,633.02,642.73,627.14
4/19/2023,1906166,626.79,634.5,636.79,625.55
4/18/2023,1680624,631.62,632.32,635.5,627.1331
4/17/2023,1320113,618.61,627.36,628.34,617.81
4/14/2023,1746865,620.48,619.54,628.03,615.21
4/13/2023,1726497,619.07,624.24,626.5,617.11
4/12/2023,1411200,627.34,616.7,627.52,616.26
4/11/2023,1651762,630.78,621.57,630.88,620.82
4/10/2023,1524174,618.05,627.39,627.87,616.4506
4/6/2023,1449317,624.16,622.64,628.4001,618.97
4/5/2023,1690875,631.14,629.01,631.7,625.7
4/4/2023,1342999,643.15,634.41,644.235,632
4/3/2023,1568246,639,642.47,643.9,636.44
3/31/2023,2212249,630.54,641.54,642.215,625.91
3/30/2023,2152294,632.73,633.75,636.05,629.3
3/29/2023,2639532,632.78,625.5,634.01,624.64
3/28/2023,1243911,625.23,624.7,626.535,618.86
3/27/2023,1470884,639,626.84,639.1,625.99
3/24/2023,1722975,638.03,636.17,639.3,628.5526
3/23/2023,2716446,638.9,639.23,648.18,631.53
3/22/2023,2579827,636.9,630.92,648.4999,630.67
3/21/2023,2500011,643.09,636.75,646.59,634.33
3/20/2023,2585730,632.74,643.71,644.74,631.595
3/17/2023,7930274,636.5,630.97,639.5699,627.08
3/16/2023,3172152,621.85,636.5,637.07,617.81
3/15/2023,2296299,627.67,626.04,630.07,616.2
3/14/2023,2589333,623.39,632.46,633.37,618.5
3/13/2023,2236402,607.09,616.47,624.39,606.88
3/10/2023,2609789,628.19,614.83,630.16,612.82
3/9/2023,2177832,630.08,622.52,642.44,621.88
3/8/2023,2091312,627.78,632.26,632.725,623.67
3/7/2023,1933550,634.87,625.15,635.78,623.51
3/6/2023,2498259,635,632.92,644.05,631.73
3/3/2023,4608784,617.7,632.76,635.73,615.75
3/2/2023,2766254,589.39,598.65,600.94,586.13
3/1/2023,1548354,594,593.57,598.21,590.3
2/28/2023,2782194,585.56,594.29,598.5756,582.18
2/27/2023,1832279,585.87,585.45,589.8,584.26
2/24/2023,1535327,577.53,577.75,580.24,573.61
2/23/2023,1893930,585.75,583.8,585.94,573.68
2/22/2023,2347525,582.25,576.17,583.0875,572.1
2/21/2023,2273874,590,581.54,593.09,579.84
2/17/2023,1421561,600,595.59,600.85,592.45
2/16/2023,1744871,600.75,600.54,608.94,599.55
2/15/2023,1268895,598.86,607.69,608.28,596.7
2/14/2023,1757119,594.17,602.31,605.58,593.315
2/13/2023,1984742,595,601.12,601.48,593.4704
2/10/2023,2103557,596.31,593.25,598.46,589.63
2/9/2023,1883657,612.6,599.41,614.9299,595.48
2/8/2023,1529012,606.68,601.71,610.18,600.62
2/7/2023,2402487,600.66,614.45,617.01,599.72
2/6/2023,1870933,593.34,601.3,603.22,592.26
2/3/2023,1909420,598,597.62,608.04,596.25
2/2/2023,2418766,607.63,605.77,613.14,599.75
2/1/2023,2655270,583.57,602.75,608.3,582.7
1/31/2023,2371907,582.07,585.01,587.23,580.735
1/30/2023,1698406,583,581.45,589.61,579.76
